LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,CLASSTYPE,LONG_COMMON_NAME
22678-7,Ethylene glycol,Substance Concentration,Point in time (spot),Urine,Qn,"",Drug toxicology,1,Ethylene glycol [Moles/volume] in Urine
22679-5,Lysine/Creatinine,Substance Ratio,Point in time (spot),Urine,Qn,"",Chemistry - non-challenge,1,Lysine/Creatinine [Molar ratio] in Urine
22680-3,Mercury/Creatinine,Substance Ratio,Point in time (spot),Urine,Qn,"",Drug toxicology,1,Mercury/Creatinine [Molar ratio] in Urine
2268-1,Etiocholanolone,Mass Rate,24 hours,Urine,Qn,"",Chemistry - non-challenge,1,Etiocholanolone [Mass/time] in 24 hour Urine
22681-1,Methionine/Creatinine,Substance Ratio,Point in time (spot),Urine,Qn,"",Chemistry - non-challenge,1,Methionine/Creatinine [Molar ratio] in Urine
22682-9,Ornithine/Creatinine,Substance Ratio,Point in time (spot),Urine,Qn,"",Chemistry - non-challenge,1,Ornithine/Creatinine [Molar ratio] in Urine
22683-7,Phenylalanine/Creatinine,SCrto,Point in time (spot),Urine,Qn,"",Chemistry - non-challenge,1,Deprecated Phenylalanine/Creatinine [Molecular ratio] in Urine
22684-5,Serine/Creatinine,Substance Ratio,Point in time (spot),Urine,Qn,"",Chemistry - non-challenge,1,Serine/Creatinine [Molar ratio] in Urine
22685-2,Tyrosine/Creatinine,Substance Ratio,Point in time (spot),Urine,Qn,"",Chemistry - non-challenge,1,Tyrosine/Creatinine [Molar ratio] in Urine
22686-0,Protoporphyrin,Substance Rate,24 hours,Urine,Qn,"",Chemistry - non-challenge,1,Protoporphyrin [Moles/time] in 24 hour Urine
22687-8,Cystine/Creatinine,Substance Ratio,Point in time (spot),Urine,Qn,"",Chemistry - non-challenge,1,Cystine/Creatinine [Molar ratio] in Urine
22688-6,Threonine/Creatinine,Substance Ratio,Point in time (spot),Urine,Qn,"",Chemistry - non-challenge,1,Threonine/Creatinine [Molar ratio] in Urine
22689-4,Zinc,Substance Rate,24 hours,Urine,Qn,"",Drug toxicology,1,Zinc [Moles/time] in 24 hour Urine
22690-2,Proline/Creatinine,Substance Ratio,Point in time (spot),Urine,Qn,"",Chemistry - non-challenge,1,Proline/Creatinine [Molar ratio] in Urine
22691-0,Aspartate/Creatinine,Substance Ratio,Point in time (spot),Urine,Qn,"",Chemistry - non-challenge,1,Aspartate/Creatinine [Molar ratio] in Urine
22692-8,Valine/Creatinine,Substance Ratio,Point in time (spot),Urine,Qn,"",Chemistry - non-challenge,1,Valine/Creatinine [Molar ratio] in Urine
22693-6,Leucine/Creatinine,Substance Ratio,Point in time (spot),Urine,Qn,"",Chemistry - non-challenge,1,Leucine/Creatinine [Molar ratio] in Urine
22694-4,Citrulline/Creatinine,Substance Ratio,Point in time (spot),Urine,Qn,"",Chemistry - non-challenge,1,Citrulline/Creatinine [Molar ratio] in Urine
22695-1,Carnitine/Creatinine,Substance Ratio,Point in time (spot),Urine,Qn,"",Chemistry - non-challenge,1,Carnitine/Creatinine [Molar ratio] in Urine
22696-9,Cadmium/Creatinine,Substance Ratio,Point in time (spot),Urine,Qn,"",Drug toxicology,1,Cadmium/Creatinine [Molar ratio] in Urine
22697-7,Arginine/Creatinine,Substance Ratio,Point in time (spot),Urine,Qn,"",Chemistry - non-challenge,1,Arginine/Creatinine [Molar ratio] in Urine
22698-5,Alanine/Creatinine,Substance Ratio,Point in time (spot),Urine,Qn,"",Chemistry - non-challenge,1,Alanine/Creatinine [Molar ratio] in Urine
2269-9,Complement factor B,Mass Concentration,Point in time (spot),Serum or Plasma,Qn,"",Hematology and Cell counts,1,Complement factor B [Mass/volume] in Serum or Plasma
22699-3,Alloisoleucine/Creatinine,Substance Ratio,Point in time (spot),Urine,Qn,"",Chemistry - non-challenge,1,Alloisoleucine/Creatinine [Molar ratio] in Urine
22700-9,Urea,Substance Concentration,Point in time (spot),Urine,Qn,"",Chemistry - non-challenge,1,Urea [Moles/volume] in Urine
22701-7,Salicylates,Substance Concentration,Point in time (spot),Urine,Qn,"",Drug toxicology,1,Salicylates [Moles/volume] in Urine
22702-5,Ketones,Substance Concentration,Point in time (spot),Urine,Qn,Test strip,Urinalysis,1,Ketones [Moles/volume] in Urine by Test strip
22703-3,Histidine/Creatinine,Substance Ratio,Point in time (spot),Urine,Qn,"",Chemistry - non-challenge,1,Histidine/Creatinine [Molar ratio] in Urine
22704-1,Carnitine.free (C0)/Creatinine,Substance Ratio,Point in time (spot),Urine,Qn,"",Chemistry - non-challenge,1,Carnitine free (C0)/Creatinine [Molar ratio] in Urine
22705-8,Glucose,Substance Concentration,Point in time (spot),Urine,Qn,Test strip,Urinalysis,1,Glucose [Moles/volume] in Urine by Test strip
22706-6,Isoleucine/Creatinine,Substance Ratio,Point in time (spot),Urine,Qn,"",Chemistry - non-challenge,1,Isoleucine/Creatinine [Molar ratio] in Urine
2270-7,Fat,Presence or Threshold,Point in time (spot),Stool,Ord,"",Chemistry - non-challenge,1,Fat [Presence] in Stool
22707-4,Homocystine/Creatinine,Substance Ratio,Point in time (spot),Urine,Qn,"",Chemistry - non-challenge,1,Homocystine/Creatinine [Molar ratio] in Urine
22708-2,Homovanillate/Creatinine,Substance Ratio,Point in time (spot),Urine,Qn,"",Chemistry - non-challenge,1,Homovanillate/Creatinine [Molar ratio] in Urine
22709-0,Glycine/Creatinine,Substance Ratio,Point in time (spot),Urine,Qn,"",Chemistry - non-challenge,1,Glycine/Creatinine [Molar ratio] in Urine
22710-8,Glutamine/Creatinine,Substance Ratio,Point in time (spot),Urine,Qn,"",Chemistry - non-challenge,1,Glutamine/Creatinine [Molar ratio] in Urine
22711-6,Glutamate/Creatinine,Substance Ratio,Point in time (spot),Urine,Qn,"",Chemistry - non-challenge,1,Glutamate/Creatinine [Molar ratio] in Urine
22712-4,Adenosine monophosphate.cyclic,Substance Concentration,Point in time (spot),Urine,Qn,"",Chemistry - non-challenge,1,Adenosine monophosphate.cyclic [Moles/volume] in Urine
22713-2,Lysine,Substance Concentration,Point in time (spot),XXX,Qn,"",Chemistry - non-challenge,1,Lysine [Moles/volume] in Specimen
22714-0,Isoleucine,Substance Concentration,Point in time (spot),XXX,Qn,"",Chemistry - non-challenge,1,Isoleucine [Moles/volume] in Specimen
2271-5,Fat,Mass Rate,72 hours,Stool,Qn,"",Chemistry - non-challenge,1,Fat [Mass/time] in 72 hour Stool
22715-7,Homocystine,Substance Concentration,Point in time (spot),XXX,Qn,"",Chemistry - non-challenge,1,Homocystine [Moles/volume] in Specimen
22716-5,Methionine,Substance Concentration,Point in time (spot),XXX,Qn,"",Chemistry - non-challenge,1,Methionine [Moles/volume] in Specimen
22717-3,Histidine,Substance Concentration,Point in time (spot),XXX,Qn,"",Chemistry - non-challenge,1,Histidine [Moles/volume] in Specimen
22718-1,Glycine,Substance Concentration,Point in time (spot),XXX,Qn,"",Chemistry - non-challenge,1,Glycine [Moles/volume] in Specimen
22719-9,Leucine,Substance Concentration,Point in time (spot),XXX,Qn,"",Chemistry - non-challenge,1,Leucine [Moles/volume] in Specimen
22720-7,Glutamine,Substance Concentration,Point in time (spot),XXX,Qn,"",Chemistry - non-challenge,1,Glutamine [Moles/volume] in Specimen
22721-5,Glutamate,Substance Concentration,Point in time (spot),XXX,Qn,"",Chemistry - non-challenge,1,Glutamate [Moles/volume] in Specimen
22722-3,Citrulline,Substance Concentration,Point in time (spot),XXX,Qn,"",Chemistry - non-challenge,1,Citrulline [Moles/volume] in Specimen
2272-3,Fat,Presence or Threshold,Point in time (spot),Urine,Ord,"",Chemistry - non-challenge,1,Fat [Presence] in Urine
22723-1,Aspartate,Substance Concentration,Point in time (spot),XXX,Qn,"",Chemistry - non-challenge,1,Aspartate [Moles/volume] in Specimen
22724-9,Alanine,Substance Concentration,Point in time (spot),XXX,Qn,"",Chemistry - non-challenge,1,Alanine [Moles/volume] in Specimen
22725-6,Ornithine,Substance Concentration,Point in time (spot),XXX,Qn,"",Chemistry - non-challenge,1,Ornithine [Moles/volume] in Specimen
22726-4,Creatinine,Substance Concentration,Point in time (spot),XXX,Qn,"",Chemistry - non-challenge,1,Creatinine [Moles/volume] in Specimen
22727-2,Arginine,Substance Concentration,Point in time (spot),XXX,Qn,"",Chemistry - non-challenge,1,Arginine [Moles/volume] in Specimen
22728-0,Cystine,Substance Concentration,Point in time (spot),XXX,Qn,"",Chemistry - non-challenge,1,Cystine [Moles/volume] in Specimen
22729-8,Valine,Substance Concentration,Point in time (spot),XXX,Qn,"",Chemistry - non-challenge,1,Valine [Moles/volume] in Specimen
22730-6,Alloisoleucine,Substance Concentration,Point in time (spot),XXX,Qn,"",Chemistry - non-challenge,1,Alloisoleucine [Moles/volume] in Specimen
2273-1,Fatty acids.esterified,Mass Concentration,Point in time (spot),Blood,Qn,"",Chemistry - non-challenge,1,Fatty acids.esterified [Mass/volume] in Blood
22731-4,Triglyceride,Substance Concentration,Point in time (spot),XXX,Qn,"",Chemistry - non-challenge,1,Triglyceride [Moles/volume] in Specimen
22732-2,Salicylates,Substance Concentration,Point in time (spot),XXX,Qn,"",Drug toxicology,1,Salicylates [Moles/volume] in Specimen
22733-0,Phosphate,Substance Concentration,Point in time (spot),XXX,Qn,"",Chemistry - non-challenge,1,Phosphate [Moles/volume] in Specimen
22734-8,Ethylene glycol,Substance Concentration,Point in time (spot),XXX,Qn,"",Drug toxicology,1,Ethylene glycol [Moles/volume] in Specimen
22735-5,Bicarbonate,Substance Concentration,Point in time (spot),XXX,Qn,"",Chemistry - non-challenge,1,Bicarbonate [Moles/volume] in Specimen
22736-3,Acetaminophen,Substance Concentration,Point in time (spot),XXX,Qn,"",Drug toxicology,1,Acetaminophen [Moles/volume] in Specimen
22737-1,Phenylalanine,Substance Concentration,Point in time (spot),XXX,Qn,"",Chemistry - non-challenge,1,Phenylalanine [Moles/volume] in Specimen
22738-9,Urea,Substance Concentration,Point in time (spot),XXX,Qn,"",Chemistry - non-challenge,1,Urea [Moles/volume] in Specimen
22739-7,Tyrosine,Substance Concentration,Point in time (spot),XXX,Qn,"",Chemistry - non-challenge,1,Tyrosine [Moles/volume] in Specimen
22740-5,Threonine,Substance Concentration,Point in time (spot),XXX,Qn,"",Chemistry - non-challenge,1,Threonine [Moles/volume] in Specimen
22741-3,Serine,Substance Concentration,Point in time (spot),XXX,Qn,"",Chemistry - non-challenge,1,Serine [Moles/volume] in Specimen
22742-1,Propylene glycol,Substance Concentration,Point in time (spot),XXX,Qn,"",Drug toxicology,1,Propylene glycol [Moles/volume] in Specimen
22743-9,Proline,Substance Concentration,Point in time (spot),XXX,Qn,"",Chemistry - non-challenge,1,Proline [Moles/volume] in Specimen
22744-7,Copper,Substance Concentration,Point in time (spot),XXX,Qn,"",Drug toxicology,1,Copper [Moles/volume] in Specimen
22745-4,Ethanol,Substance Concentration,Point in time (spot),Urine,Qn,"",Drug toxicology,1,Ethanol [Moles/volume] in Urine
22746-2,Gentamicin^peak,Substance Concentration,Point in time (spot),Serum or Plasma,Qn,"",Drug toxicology,1,Gentamicin [Moles/volume] in Serum or Plasma --peak
22747-0,Gentamicin^trough,Substance Concentration,Point in time (spot),Serum or Plasma,Qn,"",Drug toxicology,1,Gentamicin [Moles/volume] in Serum or Plasma --trough
22748-8,Cholesterol in LDL,Substance Concentration,Point in time (spot),Serum or Plasma,Qn,"",Chemistry - non-challenge,1,Cholesterol in LDL [Moles/volume] in Serum or Plasma
2274-9,Fatty acids.nonesterified,Mass Concentration,Point in time (spot),Plasma,Qn,"",Chemistry - non-challenge,1,Deprecated Fatty acids.nonesterified [Mass/volume] in Plasma
22749-6,Amylase.pancreatic,Catalytic Concentration,Point in time (spot),Urine,Qn,"",Chemistry - non-challenge,1,Amylase.pancreatic [Enzymatic activity/volume] in Urine
22750-4,Tobramycin^random,Substance Concentration,Point in time (spot),Serum or Plasma,Qn,"",Drug toxicology,1,Tobramycin [Moles/volume] in Serum or Plasma --random
22751-2,Tobramycin^peak,Substance Concentration,Point in time (spot),Serum or Plasma,Qn,"",Drug toxicology,1,Tobramycin [Moles/volume] in Serum or Plasma --peak
22752-0,Tobramycin^trough,Substance Concentration,Point in time (spot),Serum or Plasma,Qn,"",Drug toxicology,1,Tobramycin [Moles/volume] in Serum or Plasma --trough
22753-8,Iron binding capacity.unsaturated,Substance Concentration,Point in time (spot),Serum or Plasma,Qn,"",Chemistry - non-challenge,1,Iron binding capacity.unsaturated [Moles/volume] in Serum or Plasma
22754-6,Dibucaine number,Arbitrary Concentration,Point in time (spot),Serum,Qn,"",Chemistry - non-challenge,1,Deprecated Dibucaine number in Serum or Plasma
22755-3,Haemophilus influenzae B Ab,Mass Concentration,Point in time (spot),Serum,Qn,"",Microbiology,1,Haemophilus influenzae B Ab [Mass/volume] in Serum
2275-6,Fatty acids,Mass Concentration,Point in time (spot),Serum or Plasma,Qn,"",Chemistry - non-challenge,1,Fatty acids [Mass/volume] in Serum or Plasma
22756-1,HLA-DR,Arbitrary Concentration,Point in time (spot),Cerebral spinal fluid,Qn,"",HLA antigens,1,HLA-DR [Units/volume] in Cerebral spinal fluid
22757-9,Metanephrine,Mass Rate,24 hours,Urine,Qn,"",Chemistry - non-challenge,1,Deprecated Metanephrine [Mass/time] in 24 hour Urine
22758-7,Plasminogen activator inhibitor 1 Ag,Mass Concentration,Point in time (spot),Platelet poor plasma,Qn,IA,Coagulation,1,Plasminogen activator inhibitor 1 Ag [Mass/volume] in Platelet poor plasma by Immunoassay
22759-5,Platelet Ab,Titer,Point in time (spot),Serum,Qn,"",Serology - non-micro,1,Platelet Ab [Titer] in Serum
22760-3,Potassium,Mass Concentration,Point in time (spot),Serum or Plasma,Qn,"",Chemistry - non-challenge,1,Potassium [Mass/volume] in Serum or Plasma
22761-1,Pristanate (C15:0(CH3)4),Substance Concentration,Point in time (spot),Serum or Plasma,Qn,"",Chemistry - non-challenge,1,Pristanate (C15:0(CH3)4) [Moles/volume] in Serum or Plasma
22762-9,Streptococcus pneumoniae 12 IgG,Arbitrary Concentration,Point in time (spot),Serum,Qn,"",Microbiology,1,Deprecated Streptococcus pneumoniae 12 IgG Ab [Units/volume] in Serum
22763-7,Ammonia,Mass Concentration,Point in time (spot),Plasma,Qn,"",Chemistry - non-challenge,1,Ammonia [Mass/volume] in Plasma
2276-4,Ferritin,Mass Concentration,Point in time (spot),Serum or Plasma,Qn,"",Chemistry - non-challenge,1,Ferritin [Mass/volume] in Serum or Plasma
22764-5,Actinobacillus pleuropneumoniae Ab,Presence or Threshold,Point in time (spot),Serum,Ord,Comp fix,Microbiology,1,Actinobacillus pleuropneumoniae Ab [Presence] in Serum by Complement fixation
22765-2,Adult fly identified,Presence or Identity,Point in time (spot),XXX,Nom,"",Microbiology,1,Adult fly identified in Specimen
22766-0,African horse sickness virus Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IA,Microbiology,1,African horse sickness virus Ab [Presence] in Serum by Immunoassay
22767-8,African horse sickness virus Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,African horse sickness virus Ab [Presence] in Serum by Immunoblot
22768-6,African horse sickness virus Ab,Presence or Threshold,Point in time (spot),Serum,Ord,Comp fix,Microbiology,1,African horse sickness virus Ab [Presence] in Serum by Complement fixation
22769-4,African horse sickness virus Ab.Neut,Titer,Point in time (spot),Serum,Qn,Neut,Microbiology,1,African horse sickness virus neutralizing antibody [Titer] in Serum by Neutralization test
22770-2,African horse sickness virus Ab,Titer,Point in time (spot),Serum,Qn,"",Microbiology,1,African horse sickness virus Ab [Titer] in Serum
22771-0,African horse sickness virus Ab,Presence or Threshold,Point in time (spot),Serum,Ord,"",Microbiology,1,African horse sickness virus Ab [Presence] in Serum
2277-2,Ferrochelatase,Catalytic Concentration,Point in time (spot),Serum,Qn,"",Chemistry - non-challenge,1,Ferrochelatase [Enzymatic activity/volume] in Serum
22772-8,African horse sickness virus Ag,Presence or Threshold,Point in time (spot),Tissue and Smears,Ord,IA,Microbiology,1,African horse sickness virus Ag [Presence] in Tissue by Immunoassay
22773-6,African horse sickness virus Ag,Presence or Threshold,Point in time (spot),XXX,Ord,IA,Microbiology,1,African horse sickness virus Ag [Presence] in Specimen by Immunoassay
22774-4,African horse sickness virus RNA,Presence or Threshold,Point in time (spot),Tissue and Smears,Ord,Probe.amp.tar,Microbiology,1,African horse sickness virus RNA [Presence] in Tissue by NAA with probe detection
22775-1,African horse sickness virus serotype,Presence or Identity,Point in time (spot),Serum,Nom,Neut,Microbiology,1,African horse sickness virus serotype [Identifier] in Serum by Neutralization test
22776-9,African horse sickness virus serotype,Presence or Identity,Point in time (spot),XXX,Nom,Neut,Microbiology,1,African horse sickness virus serotype [Identifier] in Specimen by Neutralization test
22777-7,African swine fever virus Ab,Presence or Threshold,Point in time (spot),Body fluid,Ord,IA,Microbiology,1,African swine fever virus Ab [Presence] in Body fluid by Immunoassay
22778-5,African swine fever virus Ab,Presence or Threshold,Point in time (spot),Body fluid,Ord,"",Microbiology,1,African swine fever virus Ab [Presence] in Body fluid
22779-3,African swine fever virus Ab,Presence or Threshold,Point in time (spot),Serum,Ord,"",Microbiology,1,African swine fever virus Ab [Presence] in Serum
2278-0,Fibrinopeptide B,Mass Concentration,Point in time (spot),Serum,Qn,"",Coagulation,1,Fibrinopeptide B [Mass/volume] in Serum
22780-1,African swine fever virus Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IA,Microbiology,1,African swine fever virus Ab [Presence] in Serum by Immunoassay
22781-9,African swine fever virus Ag,Presence or Threshold,Point in time (spot),XXX,Ord,Aggl,Microbiology,1,African swine fever virus Ag [Presence] in Specimen by Agglutination
22782-7,African swine fever virus Ag,Presence or Threshold,Point in time (spot),Tissue and Smears,Ord,Aggl,Microbiology,1,African swine fever virus Ag [Presence] in Tissue by Agglutination
22783-5,African swine fever virus Ag,Presence or Threshold,Point in time (spot),Tissue and Smears,Ord,IF,Microbiology,1,African swine fever virus Ag [Presence] in Tissue by Immunofluorescence
22784-3,African swine fever virus Ag,Presence or Threshold,Point in time (spot),XXX,Ord,IF,Microbiology,1,African swine fever virus Ag [Presence] in Specimen by Immunofluorescence
22785-0,African swine fever virus DNA,Presence or Threshold,Point in time (spot),Tissue and Smears,Ord,Probe.amp.tar,Microbiology,1,African swine fever virus DNA [Presence] in Tissue by NAA with probe detection
22786-8,Alcelaphine herpesvirus 1 Ab,Titer,Point in time (spot),Serum,Qn,"",Microbiology,1,Alcelaphine herpesvirus 1 Ab [Titer] in Serum
22787-6,Alcelaphine herpesvirus 1 Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IF,Microbiology,1,Alcelaphine herpesvirus 1 Ab [Presence] in Serum by Immunofluorescence
22788-4,Alcelaphine herpesvirus 1 Ab.Neut,Titer,Point in time (spot),Serum,Qn,Neut,Microbiology,1,Alcelaphine herpesvirus 1 neutralizing antibody [Titer] in Serum by Neutralization test
22789-2,Alcelaphine herpesvirus 1 Ag,Presence or Threshold,Point in time (spot),XXX,Ord,IF,Microbiology,1,Alcelaphine herpesvirus 1 Ag [Presence] in Specimen by Immunofluorescence
227-9,Doxycycline,Titer,Point in time (spot),Isolate and Serum,Qn,SBT,Antibiotic susceptibilities,1,Doxycycline [Susceptibility] by Serum bactericidal titer
22790-0,Alcelaphine herpesvirus 1 Ag,Presence or Threshold,Point in time (spot),XXX,Ord,Immune stain,Microbiology,1,Alcelaphine herpesvirus 1 Ag [Presence] in Specimen by Immune stain
22791-8,Alcelaphine herpesvirus 1 DNA,Presence or Threshold,Point in time (spot),Tissue and Smears,Ord,Probe.amp.tar,Microbiology,1,Alcelaphine herpesvirus 1 DNA [Presence] in Tissue by NAA with probe detection
22792-6,Aleutian disease virus Ab,Presence or Threshold,Point in time (spot),Serum,Ord,CIE,Microbiology,1,Aleutian disease virus Ab [Presence] in Serum by Counterimmunoelectrophoresis (CIE)
22793-4,Aleutian disease virus Ab,Presence or Threshold,Point in time (spot),Serum,Ord,"",Microbiology,1,Aleutian disease virus Ab [Presence] in Serum
22794-2,Anaplasma marginale Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IF,Microbiology,1,Anaplasma marginale Ab [Presence] in Serum by Immunofluorescence
22795-9,Anaplasma marginale Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IA,Microbiology,1,Anaplasma marginale Ab [Presence] in Serum by Immunoassay
22796-7,Anaplasma marginale Ag,Presence or Threshold,Point in time (spot),Tissue and Smears,Ord,IF,Microbiology,1,Anaplasma marginale Ag [Presence] in Tissue by Immunofluorescence
22797-5,Anaplasma marginale DNA,Presence or Threshold,Point in time (spot),Tissue and Smears,Ord,Probe.amp.tar,Microbiology,1,Anaplasma marginale DNA [Presence] in Tissue by NAA with probe detection
2279-8,Fibrinopeptide A,Mass Concentration,Point in time (spot),Peritoneal fluid,Qn,"",Coagulation,1,Fibrinopeptide A [Mass/volume] in Peritoneal fluid
22798-3,Anaplasma marginale rRNA,Presence or Threshold,Point in time (spot),Tissue and Smears,Ord,Probe,Microbiology,1,Anaplasma marginale rRNA [Presence] in Tissue by Probe
22799-1,Anaplasma sp identified,Presence or Identity,Point in time (spot),Tissue and Smears,Nom,Modified Giemsa,Microbiology,1,Anaplasma sp identified in Tissue by Modified Giemsa stain
22800-7,Anaplasma sp identified,Presence or Identity,Point in time (spot),Blood,Nom,Modified Giemsa,Microbiology,1,Anaplasma sp identified in Blood by Modified Giemsa stain
22801-5,Infectious bronchitis virus Ab,Titer,Point in time (spot),Serum,Qn,"",Microbiology,1,Infectious bronchitis virus Ab [Titer] in Serum
22802-3,Infectious bronchitis virus Ab,Titer,Point in time (spot),Serum,Qn,HAI,Microbiology,1,Infectious bronchitis virus Ab [Titer] in Serum by Hemagglutination inhibition
22803-1,Infectious bronchitis virus Ab,Titer,Point in time (spot),Serum,Qn,IA,Microbiology,1,Infectious bronchitis virus Ab [Titer] in Serum by Immunoassay
22804-9,Infectious bronchitis virus Ab.Neut,Titer,Point in time (spot),Serum,Qn,Neut,Microbiology,1,Infectious bronchitis virus neutralizing antibody [Titer] in Serum by Neutralization test
22805-6,Infectious bronchitis virus Ag,Presence or Threshold,Point in time (spot),XXX,Ord,Neut,Microbiology,1,Infectious bronchitis virus Ag [Presence] in Specimen by Neutralization test
2280-6,Fibronectin,Mass Concentration,Point in time (spot),Plasma,Qn,"",Chemistry - non-challenge,1,Fibronectin [Mass/volume] in Plasma
22806-4,Infectious bronchitis virus Ag,Presence or Threshold,Point in time (spot),Tissue and Smears,Ord,Immune stain,Microbiology,1,Infectious bronchitis virus Ag [Presence] in Tissue by Immune stain
22807-2,Infectious bronchitis virus Ag,Presence or Threshold,Point in time (spot),XXX,Ord,IF,Microbiology,1,Infectious bronchitis virus Ag [Presence] in Specimen by Immunofluorescence
22808-0,Infectious bronchitis virus,Presence or Threshold,Point in time (spot),XXX,Ord,Microscopy.electron,Microbiology,1,Infectious bronchitis virus [Presence] in Specimen by Electron microscopy
22809-8,Infectious bronchitis virus RNA,Presence or Threshold,Point in time (spot),XXX,Ord,Probe,Microbiology,1,Infectious bronchitis virus RNA [Presence] in Specimen by Probe
22810-6,Infectious bronchitis virus RNA,Presence or Threshold,Point in time (spot),XXX,Ord,Probe.amp.tar,Microbiology,1,Infectious bronchitis virus RNA [Presence] in Specimen by NAA with probe detection
22811-4,Avian infectious laryngotracheitis virus,Presence or Threshold,Point in time (spot),XXX,Ord,Microscopy.electron,Microbiology,1,Avian infectious laryngotracheitis virus [Presence] in Specimen by Electron microscopy
22812-2,Avian infectious laryngotracheitis virus,Arbitrary Concentration,Point in time (spot),Trachea,Ord,Microscopy.electron,Microbiology,1,Deprecated Avian infectious laryngotracheitis virus [Presence] in Unspecified specimen by Electron microscopy
22813-0,Avian infectious laryngotracheitis virus Ab,Titer,Point in time (spot),Serum,Qn,IF,Microbiology,1,Avian infectious laryngotracheitis virus Ab [Titer] in Serum by Immunofluorescence
2281-4,Flavin adenine dinucleotide,Mass Concentration,Point in time (spot),Serum,Qn,"",Chemistry - non-challenge,1,Flavin adenine dinucleotide [Mass/volume] in Serum
22814-8,Avian infectious laryngotracheitis virus Ab.Neut,Titer,Point in time (spot),Serum,Qn,Neut,Microbiology,1,Avian infectious laryngotracheitis virus neutralizing antibody [Titer] in Serum by Neutralization test
22815-5,Avian infectious laryngotracheitis virus Ab,Titer,Point in time (spot),Serum,Qn,"",Microbiology,1,Avian infectious laryngotracheitis virus Ab [Titer] in Serum
22816-3,Avian infectious laryngotracheitis virus Ag,Presence or Threshold,Point in time (spot),XXX,Ord,Neut,Microbiology,1,Avian infectious laryngotracheitis virus Ag [Presence] in Specimen by Neutralization test
22817-1,Avian infectious laryngotracheitis virus Ag,Presence or Threshold,Point in time (spot),Trachea,Ord,Immune diffusion,Microbiology,1,Avian infectious laryngotracheitis virus Ag [Presence] in Trachea by Immune diffusion (ID)
22818-9,Avian infectious laryngotracheitis virus Ag,Presence or Threshold,Point in time (spot),Trachea,Ord,IA,Microbiology,1,Avian infectious laryngotracheitis virus Ag [Presence] in Trachea by Immunoassay
22819-7,Avian infectious laryngotracheitis virus Ag,Presence or Threshold,Point in time (spot),XXX,Ord,Immune diffusion,Microbiology,1,Avian infectious laryngotracheitis virus Ag [Presence] in Specimen by Immune diffusion (ID)
22820-5,Avian orthoreovirus Ag,Presence or Threshold,Point in time (spot),XXX,Ord,"",Microbiology,1,Avian orthoreovirus Ag [Presence] in Specimen
22821-3,Influenza virus A Ab,Titer,Point in time (spot),Serum,Qn,"",Microbiology,1,Deprecated Influenza virus A Ab [Titer] in Serum
2282-2,Folate,Mass Concentration,Point in time (spot),Blood,Qn,"",Chemistry - non-challenge,1,Folate [Mass/volume] in Blood
22822-1,Influenza virus A Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IA,Microbiology,1,Influenza virus A Ab [Presence] in Serum by Immunoassay
22823-9,Influenza virus A Ab,Titer,Point in time (spot),Serum,Qn,Aggl,Microbiology,1,Influenza virus A Ab [Titer] in Serum by Agglutination
22824-7,Influenza virus A Ab,Titer,Point in time (spot),Serum,Qn,HAI,Microbiology,1,Influenza virus A Ab [Titer] in Serum by Hemagglutination inhibition
22825-4,Influenza virus A Ag,Presence or Threshold,Point in time (spot),XXX,Ord,Immune diffusion,Microbiology,1,Influenza virus A Ag [Presence] in Specimen by Immune diffusion (ID)
22826-2,Influenza virus A identified,Presence or Identity,Point in time (spot),XXX,Nom,Bioassay,Microbiology,1,Influenza virus A identified in Specimen by Bioassay
22827-0,Influenza virus A subtype,Presence or Identity,Point in time (spot),XXX,Nom,Probe.amp.tar,Microbiology,1,Influenza virus A subtype [Identifier] in Specimen by NAA with probe detection
22828-8,Influenza virus A subtype,Presence or Identity,Point in time (spot),XXX,Nom,Immune diffusion,Microbiology,1,Influenza virus A subtype [Identifier] in Specimen by Immune diffusion (ID)
22829-6,Avian paramyxovirus 1 Ab,Presence or Threshold,Point in time (spot),Serum,Ord,HAI,Microbiology,1,Avian paramyxovirus 1 Ab [Presence] in Serum by Hemagglutination inhibition
2283-0,Folate,Mass Concentration,Point in time (spot),Red Blood Cells,Qn,"",Chemistry - non-challenge,1,Folate [Mass/volume] in Red Blood Cells
22830-4,Avian paramyxovirus 1 Ab,Titer,Point in time (spot),Serum,Qn,Aggl,Microbiology,1,Avian paramyxovirus 1 Ab [Titer] in Serum by Agglutination
22831-2,Avian paramyxovirus 1 Ag,Presence or Threshold,Point in time (spot),XXX,Ord,HAI,Microbiology,1,Avian paramyxovirus 1 Ag [Presence] in Specimen by Hemagglutination inhibition
